"iteration","state","psi","randomNumber1","randomNumber2","epsilon","a","r","W"
151,"row6col9",0.157779214788,0.360135601115,0.424864262618,0.833916616012,"South",0.0,0.0
152,"row6col9",0.149890254049,0.785526480002,0.125984909797,0.842220785212,"West",0.0,0.0
153,"row6col8",0.142395741346,0.0320545023105,0.125984909797,0.842220785212,"North",0.0,0.0
154,"row5col8",0.135275954279,0.804487035143,0.0532009624765,0.857604258654,"North",0.0,0.0
155,"row5col8",0.128512156565,0.200287421026,0.840728908819,0.864724045721,"East",0.0,0.0
156,"row5col9",0.122086548737,0.486402371198,0.268014839938,0.871487843435,"South",0.0,0.0
157,"row6col9",0.1159822213,0.800075438801,0.173937999896,0.877913451263,"East",0.0,0.0
158,"row6col10",0.110183110235,0.686784423867,0.6391719815,0.8840177787,"North",0.0,0.0
159,"row5col10",0.104673954723,0.945586453212,0.114228393505,0.889816889765,"North",0.0,0.0
160,"row5col10",0.0994402569871,0.470173342143,0.49064457425,0.895326045277,"South",0.0,0.0
161,"row6col10",0.0944682441377,0.966989051978,0.208646827313,0.900559743013,"East",0.0,0.0
162,"row6col11",0.0897448319309,0.854062976627,0.574635907665,0.905531755862,"East",0.0,0.0
163,"row6col12",0.0852575903343,0.741084843144,0.26423208559,0.910255168069,"South",0.0,0.0
164,"row6col12",0.0809947108176,0.435140862922,0.911004790878,0.914742409666,"West",0.0,0.0
165,"row6col11",0.0769449752767,0.547946358787,0.781291474197,0.919005289182,"North",0.0,0.0
166,"row5col11",0.0730977265129,0.922608052483,0.112671967792,0.923055024723,"East",0.0,0.0
167,"row5col12",0.0694428401872,0.996457905085,0.292227685045,0.926902273487,"South",0.0,0.0
168,"row6col12",0.0659706981779,0.531643873483,0.303015167246,0.930557159813,"North",0.0,0.0
169,"row5col12",0.062672163269,0.190729617483,0.311058826947,0.934029301822,"South",0.0,0.0
170,"row6col12",0.0595385551055,0.803279371592,0.519049662958,0.937327836731,"South",0.0,0.0
171,"row6col12",0.0565616273503,0.00142484268762,0.519049662958,0.937327836731,"North",0.0,0.0
172,"row5col12",0.0537335459827,0.0889638113327,0.837736802547,0.94343837265,"West",0.0,0.0
173,"row5col11",0.0510468686836,0.712720012829,0.826708353816,0.946266454017,"East",0.0,0.0
174,"row5col12",0.0484945252494,0.35279550648,0.95247270233,0.948953131316,"East",0.0,0.0
175,"row5col13",0.046069798987,0.92965910501,0.10961258483,0.951505474751,"South",0.0,0.0
176,"row6col13",0.0437663090376,0.0497936345089,0.488691299597,0.953930201013,"North",0.0,0.0
177,"row5col13",0.0415779935857,0.750290994012,0.740295756835,0.956233690962,"South",0.0,0.0
178,"row6col13",0.0394990939064,0.854022927944,0.106473389368,0.958422006414,"East",0.0,0.0
179,"row6col14",0.0375241392111,0.0783766090839,0.215298252497,0.960500906094,"West",0.0,0.0
180,"row6col13",0.0356479322506,0.706201415198,0.362375886781,0.962475860789,"North",0.0,0.0
181,"row5col13",0.033865535638,0.639646873378,0.928704857649,0.964352067749,"West",0.0,0.0
182,"row5col12",0.0321722588561,0.817909295893,0.960854475137,0.966134464362,"East",0.0,0.0
183,"row5col13",0.0305636459133,0.929010716582,0.342224514528,0.967827741144,"East",0.0,0.0
184,"row5col14",0.0290354636177,0.104425605713,0.896233389654,0.969436354087,"East",0.0,0.0
185,"row5col15",0.0275836904368,0.827201198775,0.808347300301,0.970964536382,"East",0.0,0.0
186,"row5col16",0.0262045059149,0.0625950663212,0.110861644702,0.972416309563,"West",0.0,0.0
187,"row5col15",0.0248942806192,0.622704630678,0.358827613166,0.973795494085,"East",0.0,0.0
188,"row5col16",0.0236495665882,0.950267210565,0.278538419339,0.975105719381,"North",0.0,0.0
189,"row5col16",0.0224670882588,0.450926850535,0.715503124061,0.976350433412,"West",0.0,0.0
190,"row5col15",0.0213437338459,0.616161892358,0.831403227298,0.977532911741,"South",0.0,0.0
191,"row6col15",0.0202765471536,0.661657469453,0.16522574859,0.978656266154,"North",0.0,0.0
192,"row5col15",0.0192627197959,0.631764057834,0.292193142582,0.979723452846,"East",0.0,0.0
193,"row5col16",0.0182995838061,0.307478494816,0.994853327359,0.980737280204,"East",0.0,0.0
194,"row5col17",0.0173846046158,0.48813539,0.734417252918,0.981700416194,"South",0.0,0.0
195,"row6col17",0.016515374385,0.338024194531,0.0231340474193,0.982615395384,"West",0.0,0.0
196,"row6col16",0.0156896056658,0.187704749321,0.331238510332,0.983484625615,"South",0.0,0.0
197,"row6col16",0.0149051253825,0.673213762161,0.467491013838,0.984310394334,"East",0.0,0.0
198,"row6col17",0.0141598691134,0.817888934824,0.237722733892,0.985094874618,"South",0.0,0.0
199,"row7col17",0.0134518756577,0.324553746436,0.629035067621,0.985840130887,"East",0.0,0.0
200,"row7col18",0.0127792818748,0.158075391967,0.784020051042,0.986548124342,"East",0.0,0.0
201,"row7col18",0.0121403177811,0.838753105006,0.596927235866,0.987220718125,"South",0.0,0.0
202,"row8col18",0.011533301892,0.413524837512,0.273567726671,0.987859682219,"West",0.0,0.0
203,"row8col17",0.0109566367974,0.525687029048,0.505264124014,0.988466698108,"East",0.0,0.0
204,"row8col18",0.0104088049575,0.850009184735,0.991707210081,0.989043363203,"West",0.0,0.0
205,"row8col17",0.00988836470966,0.0799366126438,0.410691108658,0.989591195042,"East",0.0,0.0
206,"row8col18",0.00939394647418,0.108979234582,0.0541090726649,0.99011163529,"East",0.0,0.0
207,"row8col18",0.00892424915047,0.100162768125,0.0420029781075,0.990606053526,"South",0.0,0.0
208,"row9col18",0.00847803669294,0.269421166899,0.0135584503067,0.99107575085,"East",0.0,0.0
209,"row9col18",0.0080541348583,0.19621106106,0.395576429997,0.991521963307,"South",0.0,0.0
210,"row10col18",0.00765142811538,0.369902643416,0.177159372436,0.991945865142,"East",0.0,0.0
211,"row10col18",0.00726885670961,0.208131497249,0.00838690927386,0.992348571885,"East",0.0,0.0
212,"row10col18",0.00690541387413,0.913820760429,0.586980710037,0.99273114329,"South",0.0,0.0
213,"row11col18",0.00656014318043,0.491862923845,0.71545206879,0.993094586126,"North",0.0,0.0
214,"row10col18",0.0062321360214,0.115566485794,0.0100769589711,0.99343985682,"South",0.0,0.0
215,"row11col18",0.00592052922033,0.146518899926,0.621580644106,0.993767863979,"South",0.0,0.0
216,"row8col4",0.95,0.0747445233506,-1.0,-1,"East",0.0,0.0
217,"row8col5",0.9025,0.0189640340321,-1.0,-1,"East",0.0,0.0
218,"row8col6",0.857375,0.13748856776,-1.0,-1,"North",0.0,0.0
219,"row7col6",0.81450625,0.454354791252,-1.0,-1,"North",0.0,0.0
220,"row6col6",0.7737809375,0.472341349373,-1.0,-1,"North",0.0,0.0
221,"row5col6",0.735091890625,0.088469338159,-1.0,-1,"East",0.0,0.0
222,"row5col7",0.698337296094,0.128011130434,-1.0,-1,"East",0.0,0.0
223,"row5col8",0.663420431289,0.266131780383,-1.0,-1,"East",0.0,0.0
224,"row5col9",0.630249409725,0.744900400311,0.239111761567,0.336579568711,"East",0.0,0.0
225,"row5col10",0.598736939238,0.459780688093,0.239111761567,0.336579568711,"East",0.0,0.0
226,"row5col11",0.568800092276,0.219183725073,0.239111761567,0.336579568711,"East",0.0,0.0
227,"row5col12",0.540360087663,0.455763478472,0.239111761567,0.336579568711,"East",0.0,0.0
228,"row5col13",0.51334208328,0.487309422771,0.239111761567,0.336579568711,"North",0.0,0.0
229,"row4col13",0.487674979116,0.510724033792,0.239111761567,0.336579568711,"North",0.0,0.0
230,"row3col13",0.46329123016,0.582642003842,0.251982522806,0.512325020884,"West",0.0,0.0
231,"row3col13",0.440126668652,0.544846171287,0.756098814412,0.53670876984,"South",0.0,0.0
232,"row4col13",0.418120335219,0.0216055749153,0.756098814412,0.53670876984,"North",0.0,0.0
233,"row3col13",0.397214318458,0.818792889311,0.831098501034,0.581879664781,"West",0.0,0.0
234,"row3col13",0.377353602535,0.618101186709,0.0450408299277,0.602785681542,"North",0.0,0.0
235,"row2col13",0.358485922409,0.995276008765,0.363877353745,0.622646397465,"East",0.0,0.0
236,"row2col14",0.340561626288,0.40813016857,0.370755723821,0.641514077591,"East",1.0,0.340561626288
237,"row11col9",0.95,0.192034403671,-1.0,-1,"South",0.0,0.0
238,"row12col9",0.9025,0.382426214006,-1.0,-1,"South",0.0,0.0
239,"row13col9",0.857375,0.243681880979,-1.0,-1,"South",0.0,0.0
240,"row14col9",0.81450625,0.057776685714,-1.0,-1,"West",0.0,0.0
241,"row14col8",0.7737809375,0.832546957827,0.504918195759,0.18549375,"North",0.0,0.0
242,"row14col8",0.735091890625,0.28048774727,0.504918195759,0.18549375,"West",0.0,0.0
243,"row14col7",0.698337296094,0.550779566817,0.504918195759,0.18549375,"West",0.0,0.0
244,"row14col6",0.663420431289,0.434599516447,0.504918195759,0.18549375,"North",0.0,0.0
245,"row13col6",0.630249409725,0.392083452853,0.504918195759,0.18549375,"North",0.0,0.0
246,"row12col6",0.598736939238,0.176907004349,0.504918195759,0.18549375,"North",0.0,0.0
247,"row11col6",0.568800092276,0.627828912677,0.27498824081,0.401263060762,"South",0.0,0.0
248,"row12col6",0.540360087663,0.344052822297,0.27498824081,0.401263060762,"North",0.0,0.0
249,"row11col6",0.51334208328,0.837503538098,0.14799971746,0.459639912337,"West",0.0,0.0
250,"row11col5",0.487674979116,0.590287615464,0.540063570064,0.48665791672,"South",0.0,0.0
251,"row12col5",0.46329123016,0.141721708367,0.540063570064,0.48665791672,"East",0.0,0.0
252,"row12col6",0.440126668652,0.0488884913129,0.540063570064,0.48665791672,"North",0.0,0.0
253,"row11col6",0.418120335219,0.27148123025,0.540063570064,0.48665791672,"North",0.0,0.0
254,"row10col6",0.397214318458,0.478047013137,0.273036367655,0.581879664781,"East",0.0,0.0
